,0,1,2,3,4
87,66.0,66.0,66.0,66.0,66.0
88,66.0,66.0,66.0,66.0,66.0
89,66.0,66.0,66.0,66.0,66.0
90,66.0,66.0,66.0,66.0,66.0
91,66.0,66.0,66.0,66.0,66.0
92,66.0,66.0,66.0,66.0,66.0
93,66.0,66.0,66.0,66.0,66.0
94,66.0,66.0,66.0,66.0,66.0
95,66.0,66.0,66.0,66.0,66.0
96,66.0,66.0,66.0,66.0,66.0
97,66.0,66.0,66.0,66.0,66.0
98,66.0,66.0,66.0,66.0,66.0
99,66.0,66.0,66.0,66.0,66.0
100,66.0,66.0,66.0,66.0,66.0
101,66.0,66.0,66.0,66.0,66.0
102,66.0,66.0,66.0,66.0,66.0
103,66.0,66.0,66.0,66.0,66.0
104,66.0,66.0,66.0,66.0,66.0
105,66.0,66.0,66.0,66.0,66.0
106,66.0,66.0,66.0,66.0,66.0
107,66.0,66.0,66.0,66.0,66.0
108,66.0,66.0,66.0,66.0,66.0
109,66.0,66.0,66.0,66.0,66.0
110,0.0,0.0,66.0,66.0,66.0
111,0.16,0.16,66.05601585171797,66.0,66.0
112,0.32,0.32,66.22249451905007,66.0,66.0
113,0.48,0.48,66.49477327982454,66.0,66.0
114,0.64,0.64,66.86522617069664,66.0,66.0
115,0.8,0.8,67.32347757456456,66.0054818609817,66.0
116,0.96,0.96,67.85669282008402,66.096332952245,66.0
117,1.12,1.12,68.44993765419159,66.29651766076002,66.0
118,1.28,1.28,69.08659651955738,66.60042922805255,66.0
119,1.44,1.44,69.74883792188274,66.99955572147816,66.0
