xHistory,uHistory,tHistory,rHistory,JHistory
[[66]],"[[10.]
 [10.]
 [10.]
 [10.]]",8.399999999999986,[[-1000.]],0.0
[[66]],"[[10.]
 [10.]
 [10.]
 [10.]]",8.499999999999986,[[-1000.]],0.0
[[66]],"[[10.]
 [10.]
 [10.]
 [10.]]",8.599999999999985,[[-1000.]],0.0
[[66]],"[[10.]
 [10.]
 [10.]
 [10.]]",8.699999999999985,[[-1000.]],0.0
[[66]],"[[10.]
 [10.]
 [10.]
 [10.]]",8.799999999999985,[[-1000.]],0.0
[[66]],"[[10.]
 [10.]
 [10.]
 [10.]]",8.899999999999984,[[-1000.]],0.0
[[66]],"[[10.]
 [10.]
 [10.]
 [10.]]",8.999999999999984,[[-1000.]],0.0
[[67]],"[[10.]
 [10.]
 [10.]
 [10.]]",9.099999999999984,[[-1000.]],0.0
[[66]],"[[10.]
 [10.]
 [10.]
 [10.]]",9.199999999999983,[[-1000.]],0.0
[[66]],"[[10.]
 [10.]
 [10.]
 [10.]]",9.299999999999983,[[-1000.]],0.0
[[66]],"[[10.]
 [10.]
 [10.]
 [10.]]",9.399999999999983,[[-1000.]],0.0
[[66]],"[[10.]
 [10.]
 [10.]
 [10.]]",9.499999999999982,[[-1000.]],0.0
[[66]],"[[10.]
 [10.]
 [10.]
 [10.]]",9.599999999999982,[[-1000.]],0.0
[[66]],"[[10.]
 [10.]
 [10.]
 [10.]]",9.699999999999982,[[-1000.]],0.0
[[66]],"[[10.]
 [10.]
 [10.]
 [10.]]",9.799999999999981,[[-1000.]],0.0
[[66]],"[[10.]
 [10.]
 [10.]
 [10.]]",9.89999999999998,[[-1000.]],0.0
[[66]],"[[10.]
 [10.]
 [10.]
 [10.]]",9.99999999999998,[[-1000.]],0.0
[[66]],"[[10.]
 [10.]
 [10.]
 [10.]]",10.09999999999998,[[-1000.]],0.0
[[66]],"[[10.]
 [10.]
 [10.]
 [10.]]",10.19999999999998,[[-1000.]],0.0
[[66]],"[[10.]
 [10.]
 [10.]
 [10.]]",10.29999999999998,[[-1000.]],0.0
[[66]],"[[10.]
 [10.]
 [10.]
 [10.]]",10.399999999999979,[[-1000.]],0.0
[[66]],"[[10.]
 [10.]
 [10.]
 [10.]]",10.499999999999979,[[-1000.]],0.0
[[66]],"[[10.]
 [10.]
 [10.]
 [10.]]",10.599999999999978,[[-1000.]],0.0
[[66]],"[[10.]
 [10.]
 [10.]
 [10.]]",10.699999999999978,[[-1000.]],0.0
[[66]],"[[10.]
 [10.]
 [10.]
 [10.]]",10.799999999999978,[[-1000.]],0.0
[[66]],"[[10.]
 [10.]
 [10.]
 [10.]]",10.899999999999977,[[-1000.]],0.0
[[66]],"[[10.]
 [10.]
 [10.]
 [10.]]",10.999999999999977,[[-1000.]],0.0
[[66]],"[[10.]
 [10.]
 [10.]
 [10.]]",11.099999999999977,[[-1000.]],0.0
[[66]],"[[10.]
 [10.]
 [10.]
 [10.]]",11.199999999999976,[[-1000.]],0.0
[[66]],"[[10.]
 [10.]
 [10.]
 [10.]]",11.299999999999976,[[-1000.]],0.0
[[66]],"[[10.]
 [10.]
 [10.]
 [10.]]",11.399999999999975,[[-1000.]],0.0
[[66]],"[[10.]
 [10.]
 [10.]
 [10.]]",11.499999999999975,[[-1000.]],0.0
[[66]],"[[10.]
 [10.]
 [10.]
 [10.]]",11.599999999999975,[[-1000.]],0.0
[[66]],"[[10.]
 [10.]
 [10.]
 [10.]]",11.699999999999974,[[-1000.]],0.0
[[66]],"[[10.]
 [10.]
 [10.]
 [10.]]",11.799999999999974,[[-1000.]],0.0
[[66]],"[[10.]
 [10.]
 [10.]
 [10.]]",11.899999999999974,[[-1000.]],0.0
[[63]],"[[10.]
 [10.]
 [10.]
 [10.]]",11.999999999999973,[[-1000.]],0.0
[[66]],"[[10.]
 [10.]
 [10.]
 [10.]]",12.099999999999973,[[-1000.]],0.0
[[63]],"[[10.]
 [10.]
 [10.]
 [10.]]",12.199999999999973,[[-1000.]],0.0
[[66]],"[[10.]
 [10.]
 [10.]
 [10.]]",12.299999999999972,[[-1000.]],0.0
[[66]],"[[10.]
 [10.]
 [10.]
 [10.]]",12.399999999999972,[[-1000.]],0.0
[[66]],"[[10.]
 [10.]
 [10.]
 [10.]]",12.499999999999972,[[-1000.]],0.0
[[66]],"[[10.]
 [10.]
 [10.]
 [10.]]",12.599999999999971,[[-1000.]],0.0
[[66]],"[[10.]
 [10.]
 [10.]
 [10.]]",12.69999999999997,[[-1000.]],0.0
[[66]],"[[10.]
 [10.]
 [10.]
 [10.]]",12.79999999999997,[[-1000.]],0.0
[[66]],"[[10.]
 [10.]
 [10.]
 [10.]]",12.89999999999997,[[-1000.]],0.0
[[66]],"[[10.]
 [10.]
 [10.]
 [10.]]",12.99999999999997,[[-1000.]],0.0
[[66]],"[[10.]
 [10.]
 [10.]
 [10.]]",13.09999999999997,[[-1000.]],0.0
[[66]],"[[10.]
 [10.]
 [10.]
 [10.]]",13.199999999999969,[[-1000.]],0.0
[[66]],"[[10.]
 [10.]
 [10.]
 [10.]]",13.299999999999969,[[-1000.]],0.0
