xHistory,uHistory,tHistory,rHistory,JHistory
[54.42220083 54.42604625 54.94953415],"[[40. 40. 40.]
 [40. 40. 40.]
 [40. 40. 40.]
 [40. 40. 40.]]",10.399999999999979,[[-1000. -1000. -1000.]],0.0
[54.42220065 54.42604613 54.94953547],"[[40. 40. 40.]
 [40. 40. 40.]
 [40. 40. 40.]
 [40. 40. 40.]]",10.499999999999979,[[-1000. -1000. -1000.]],0.0
[54.42220049 54.42604596 54.94953667],"[[40. 40. 40.]
 [40. 40. 40.]
 [40. 40. 40.]
 [40. 40. 40.]]",10.599999999999978,[[-1000. -1000. -1000.]],0.0
[54.42220037 54.42604575 54.94953775],"[[40. 40. 40.]
 [40. 40. 40.]
 [40. 40. 40.]
 [40. 40. 40.]]",10.699999999999978,[[-1000. -1000. -1000.]],0.0
[54.42220026 54.42604552 54.9495387 ],"[[40. 40. 40.]
 [40. 40. 40.]
 [40. 40. 40.]
 [40. 40. 40.]]",10.799999999999978,[[-1000. -1000. -1000.]],0.0
[54.42220017 54.42604526 54.94953955],"[[40. 40. 40.]
 [40. 40. 40.]
 [40. 40. 40.]
 [40. 40. 40.]]",10.899999999999977,[[-1000. -1000. -1000.]],0.0
[54.42220011 54.42604498 54.94954029],"[[40. 40. 40.]
 [40. 40. 40.]
 [40. 40. 40.]
 [40. 40. 40.]]",10.999999999999977,[[-1000. -1000. -1000.]],0.0
[54.42220006 54.4260447  54.94954094],"[[40. 40. 40.]
 [40. 40. 40.]
 [40. 40. 40.]
 [40. 40. 40.]]",11.099999999999977,[[-1000. -1000. -1000.]],0.0
[54.42220002 54.42604441 54.94954149],"[[40. 40. 40.]
 [40. 40. 40.]
 [40. 40. 40.]
 [40. 40. 40.]]",11.199999999999976,[[-1000. -1000. -1000.]],0.0
[54.42219999 54.42604413 54.94954197],"[[40. 40. 40.]
 [40. 40. 40.]
 [40. 40. 40.]
 [40. 40. 40.]]",11.299999999999976,[[-1000. -1000. -1000.]],0.0
[54.42219998 54.42604385 54.94954237],"[[40. 40. 40.]
 [40. 40. 40.]
 [40. 40. 40.]
 [40. 40. 40.]]",11.399999999999975,[[-1000. -1000. -1000.]],0.0
[54.42219998 54.42604358 54.94954271],"[[40. 40. 40.]
 [40. 40. 40.]
 [40. 40. 40.]
 [40. 40. 40.]]",11.499999999999975,[[-1000. -1000. -1000.]],0.0
[54.42219998 54.42604331 54.94954298],"[[40. 40. 40.]
 [40. 40. 40.]
 [40. 40. 40.]
 [40. 40. 40.]]",11.599999999999975,[[-1000. -1000. -1000.]],0.0
[54.42219999 54.42604306 54.94954321],"[[40. 40. 40.]
 [40. 40. 40.]
 [40. 40. 40.]
 [40. 40. 40.]]",11.699999999999974,[[-1000. -1000. -1000.]],0.0
[54.4222     54.42604282 54.94954338],"[[40. 40. 40.]
 [40. 40. 40.]
 [40. 40. 40.]
 [40. 40. 40.]]",11.799999999999974,[[-1000. -1000. -1000.]],0.0
[54.42220002 54.42604259 54.94954351],"[[40. 40. 40.]
 [40. 40. 40.]
 [40. 40. 40.]
 [40. 40. 40.]]",11.899999999999974,[[-1000. -1000. -1000.]],0.0
[54.42220004 54.42604238 54.94954361],"[[40. 40. 40.]
 [40. 40. 40.]
 [40. 40. 40.]
 [40. 40. 40.]]",11.999999999999973,[[-1000. -1000. -1000.]],0.0
[54.42220007 54.42604218 54.94954367],"[[40. 40. 40.]
 [40. 40. 40.]
 [40. 40. 40.]
 [40. 40. 40.]]",12.099999999999973,[[-1000. -1000. -1000.]],0.0
[54.42220009 54.426042   54.9495437 ],"[[40. 40. 40.]
 [40. 40. 40.]
 [40. 40. 40.]
 [40. 40. 40.]]",12.199999999999973,[[-1000. -1000. -1000.]],0.0
[54.42220012 54.42604184 54.94954371],"[[40. 40. 40.]
 [40. 40. 40.]
 [40. 40. 40.]
 [40. 40. 40.]]",12.299999999999972,[[-1000. -1000. -1000.]],0.0
[54.42220015 54.42604168 54.9495437 ],"[[40. 40. 40.]
 [40. 40. 40.]
 [40. 40. 40.]
 [40. 40. 40.]]",12.399999999999972,[[-1000. -1000. -1000.]],0.0
[54.42220018 54.42604154 54.94954368],"[[40. 40. 40.]
 [40. 40. 40.]
 [40. 40. 40.]
 [40. 40. 40.]]",12.499999999999972,[[-1000. -1000. -1000.]],0.0
[54.4222002  54.42604142 54.94954364],"[[40. 40. 40.]
 [40. 40. 40.]
 [40. 40. 40.]
 [40. 40. 40.]]",12.599999999999971,[[-1000. -1000. -1000.]],0.0
[54.42220023 54.42604131 54.94954359],"[[40. 40. 40.]
 [40. 40. 40.]
 [40. 40. 40.]
 [40. 40. 40.]]",12.69999999999997,[[-1000. -1000. -1000.]],0.0
[54.42220026 54.42604121 54.94954353],"[[40. 40. 40.]
 [40. 40. 40.]
 [40. 40. 40.]
 [40. 40. 40.]]",12.79999999999997,[[-1000. -1000. -1000.]],0.0
