,u0,u1,u2,x_fil0,x_fil1,x_fil2
61,36.0,11.0,10.0,69.95670025956616,66.41569140442007,66.0
62,36.0,33.0,10.0,70.66276561768034,67.18038312168483,66.0
63,36.0,33.0,11.0,71.17236813558881,68.16377536314963,66.1120665878953
64,36.0,33.0,11.0,71.7033490323189,69.33244881925692,66.36605838505179
65,36.0,33.0,11.0,72.36334205925651,70.21928482916182,66.55761661368126
66,36.0,36.0,11.0,72.92050835926582,70.48405768453847,66.85807479073881
67,36.0,36.0,11.0,72.77586682420937,71.1793419844325,66.9444840153692
68,36.0,36.0,18.0,73.01977439800241,71.77794258009543,66.50907447789416
69,42.0,36.0,18.0,73.26090938105271,71.05809831913625,66.5512833347468
70,42.0,36.0,29.0,73.29670723262855,71.3128084125443,67.44717546800003
71,42.0,36.0,29.0,72.97434263673507,71.43644415610876,68.36063225207985
72,42.0,36.0,29.0,72.874682549274,71.22786265882473,69.67556616683906
73,42.0,36.0,33.0,72.81852599473399,71.8527198654906,70.23692720633073
74,42.0,36.0,36.0,72.66593225714757,71.99954968632804,71.54926384380822
75,42.0,36.0,36.0,72.61688354274105,72.55916432955301,72.61559588430401
76,42.0,42.0,36.0,72.89756732179619,72.7890614220926,73.33418679136592
77,42.0,42.0,36.0,72.96367410840985,71.77023038013161,73.36322952936159
78,42.0,42.0,36.0,73.55444997421402,71.83403635106937,73.5236129991619
79,42.0,42.0,36.0,73.72998474927007,71.9727237131396,73.64506045694537
80,10.0,42.0,36.0,73.58753149999458,72.04375657272438,74.3469245569586
81,10.0,42.0,36.0,73.5090182129467,71.04363752421085,74.27104986936364
82,10.0,42.0,36.0,72.90454117063986,71.12730194401973,74.62005018220827
83,10.0,42.0,36.0,71.96742505283885,71.90630762177511,74.36605838505179
84,10.0,42.0,36.0,71.36605838505179,72.99384203452652,74.16169960726359
85,10.0,42.0,42.0,70.36605838505179,72.77827384525385,74.16861719115981
86,10.0,42.0,42.0,69.41569140442007,73.54674429286881,75.05823231042604
87,10.0,10.0,42.0,68.80844177137051,73.14755513472035,75.61352664703654
88,10.0,10.0,42.0,68.25399179715647,73.40462882737036,75.94350566168293
89,10.0,10.0,42.0,67.71931622094486,72.47322036137086,75.52769520874932
90,10.0,10.0,42.0,67.28068377905512,71.84107298347914,75.39344720180712
91,10.0,10.0,42.0,66.85807479073881,70.92095867293779,74.80611949429975
92,10.0,10.0,42.0,66.55761661368126,70.45518393547745,74.83202989736799
93,10.0,10.0,42.0,66.36605838505179,69.65959897821311,73.91392855914664
94,10.0,10.0,42.0,66.1120665878953,69.48820919631055,73.90944578221611
95,10.0,10.0,42.0,66.0,69.35914080115556,74.24908718558024
96,10.0,10.0,10.0,66.0,69.05655060326451,74.82827243432041
97,10.0,10.0,10.0,65.66380023631407,68.82233320411044,74.78006808231034
98,10.0,10.0,10.0,65.57422437221645,68.40980843915757,74.74284156337626
99,10.0,10.0,10.0,65.5149011782092,68.0,73.93756643147296
100,10.0,10.0,10.0,65.49414842652052,67.36605838505179,73.28385041852236
101,10.0,10.0,10.0,65.17870141452327,66.78174978947189,72.3858327830542
102,10.0,10.0,10.0,64.81224898074699,66.02985862136586,71.42260898831631
103,10.0,10.0,10.0,64.86499237463504,65.35009119642584,70.57739101168367
104,10.0,10.0,10.0,65.15097481399091,65.20119213832096,69.72623380484109
105,10.0,10.0,10.0,65.17074921199332,64.70270846240967,68.85807479073881
106,10.0,10.0,10.0,64.92154297789955,64.6030483749486,68.0
107,10.0,10.0,10.0,64.63774882432466,64.27474454884515,67.36605838505179
108,10.0,10.0,10.0,64.89485099600091,63.96328005968537,66.78174978947189
109,10.0,10.0,10.0,65.12111619262504,63.911852803260594,66.36605838505179
110,10.0,10.0,10.0,65.00904960472973,64.01557313990146,66.1120665878953
111,10.0,10.0,10.0,65.08912555042565,63.93375922209651,66.0
112,10.0,10.0,10.0,65.23802460853052,64.42157436968259,66.0
113,10.0,10.0,10.0,65.66380023631407,64.4722420076846,66.0
114,10.0,10.0,10.0,66.0,64.82233320411044,66.0
115,10.0,10.0,10.0,65.66380023631407,65.21825021052811,66.0
116,10.0,10.0,10.0,65.57422437221645,65.44555002578596,66.0
117,10.0,10.0,10.0,65.5149011782092,65.19155822862946,66.0
118,10.0,10.0,10.0,65.49414842652052,64.77270018474215,66.0
119,10.0,10.0,10.0,65.5149011782092,64.33031679842341,66.0
120,10.0,10.0,10.0,65.57422437221645,64.19744119389198,66.0
121,10.0,10.0,10.0,65.66380023631407,63.903900600730644,66.0
122,10.0,10.0,10.0,66.0,63.54753239031781,66.0
123,10.0,10.0,10.0,66.0,63.67343414600556,66.0
124,10.0,10.0,10.0,66.0,63.97330801810135,66.0
125,10.0,10.0,10.0,66.0,64.27693283462614,65.66380023631407
126,10.0,10.0,10.0,66.0,64.33723438231964,65.57422437221645
127,10.0,10.0,10.0,66.0,64.36986559442825,65.17870141452327
128,10.0,10.0,10.0,66.0,64.37025964315274,65.06837279873699
129,10.0,10.0,10.0,66.0,64.6030483749486,65.0298023564184
130,10.0,10.0,10.0,66.0,64.60719336810209,65.06837279873699
131,10.0,10.0,10.0,66.0,64.79460660357807,65.17870141452327
132,10.0,10.0,10.0,66.0,64.70057644157617,65.57422437221645
133,10.0,10.0,10.0,66.0,64.70018239285167,65.66380023631407
134,10.0,10.0,10.0,66.0,64.4167260230538,66.0
135,10.0,10.0,10.0,66.0,64.24707421326026,66.0
136,10.0,10.0,10.0,66.0,63.76197539146946,66.0
137,10.0,10.0,10.0,66.0,63.67239952737184,66.0
138,10.0,10.0,10.0,66.0,63.64990880357416,66.0
139,10.0,10.0,10.0,66.0,63.993082416103775,66.0
140,10.0,10.0,10.0,66.0,64.44930097021495,66.0
141,10.0,10.0,10.0,65.88793341210469,64.9077078101071,66.0
142,10.0,10.0,10.0,65.85807479073881,64.99728367420472,66.0
143,10.0,10.0,10.0,65.50210062905047,65.27059955569167,65.66380023631407
144,10.0,10.0,10.0,65.40560718105662,64.92470961736679,65.46215778432115
145,10.0,10.0,10.0,65.3532015709456,64.62010644715575,65.37297596894801
146,10.0,10.0,10.0,65.35222321725935,64.26782696494892,65.22038223136163
147,10.0,10.0,10.0,65.40283459031389,64.15749834916264,65.20435877778819
148,10.0,10.0,10.0,65.57422437221645,64.0756844313577,65.25082515768925
149,10.0,10.0,10.0,65.66380023631407,64.441348767685,65.35325783589306
150,10.0,10.0,10.0,66.0,64.59122617947614,65.72623380484109
151,10.0,10.0,10.0,66.0,65.0694074173707,65.85807479073881
152,10.0,10.0,10.0,66.0,65.16590086536455,65.88793341210469
153,10.0,10.0,10.0,66.0,65.32023257505996,66.0
154,10.0,10.0,10.0,66.0,65.1488427931574,66.0
155,10.0,10.0,10.0,66.0,65.19052360999575,66.0
156,10.0,10.0,10.0,66.0,65.18458437978578,66.0
157,10.0,10.0,10.0,66.0,65.24390757379302,66.0
158,10.0,10.0,10.0,66.0,65.02397565610336,66.0
159,10.0,10.0,10.0,66.0,64.98403281137404,66.0
160,10.0,10.0,10.0,66.0,64.64085919884442,66.0
161,10.0,10.0,10.0,66.0,64.58327397694619,66.0
162,10.0,10.0,10.0,66.0,64.187751019253,66.0
163,10.0,10.0,10.0,66.0,64.15749834916264,66.0
164,10.0,10.0,10.0,66.0,64.15576037705362,66.0
165,10.0,10.0,10.0,66.0,64.47818123789457,65.88793341210469
166,10.0,10.0,10.0,66.0,64.8750765979985,65.85807479073881
167,10.0,10.0,10.0,66.0,64.9077078101071,65.8383003927364
168,10.0,10.0,10.0,66.0,64.9077078101071,65.83138280884017
169,10.0,10.0,10.0,66.0,65.21127636168441,65.8383003927364
170,10.0,10.0,10.0,66.0,65.24015662936404,65.85807479073881
171,10.0,10.0,10.0,66.0,65.40283459031389,65.88793341210469
172,10.0,10.0,10.0,66.0,65.57422437221645,66.0
173,10.0,10.0,10.0,66.0,65.66380023631407,66.0
174,10.0,10.0,10.0,66.0,66.0,66.0
175,10.0,10.0,10.0,66.0,66.0,66.0
176,10.0,10.0,10.0,66.0,66.0,66.0
177,10.0,10.0,10.0,66.0,66.0,66.0
178,10.0,10.0,10.0,66.0,66.0,66.0
179,10.0,10.0,10.0,66.0,66.0,66.0
180,10.0,10.0,10.0,66.0,66.0,66.0
181,10.0,10.0,10.0,66.0,66.0,66.0
182,10.0,10.0,10.0,66.0,66.0,66.0
183,10.0,10.0,10.0,66.0,66.0,66.0
184,10.0,10.0,10.0,66.0,66.0,66.0
185,10.0,10.0,10.0,66.0,66.0,66.0
186,10.0,10.0,10.0,66.0,66.0,66.0
187,10.0,10.0,10.0,66.0,66.0,66.0
