,0,1,2,3,4
82,8.32,8.32,66.0,66.22595134388723,67.59831909869646
83,8.48,8.48,66.0,66.08960024894084,67.21634881363074
84,8.64,8.64,66.0,66.01491849402824,66.87827837064668
85,8.8,8.8,66.0,66.0,66.58943934258363
86,8.96,8.96,66.0,66.0,66.35438689345821
87,9.120000000000001,9.120000000000001,66.0,66.0,66.17682794080667
88,9.28,9.28,66.0,66.0,66.0595626953809
89,9.44,9.44,66.0,66.0,66.00444050015211
90,9.6,9.6,66.0,66.0,66.0
91,9.76,9.76,66.0,66.0,66.0
92,66.0,66.0,66.0,66.0,66.0
93,66.0,66.0,66.0,66.0,66.0
94,66.0,66.0,66.0,66.0,66.0
95,66.0,66.0,66.0,66.0,66.0
96,66.0,66.0,66.0,66.0,66.0
97,66.0,66.0,66.0,66.0,66.0
98,66.0,66.0,66.0,66.0,66.0
99,66.0,66.0,66.0,66.0,66.0
100,66.0,66.0,66.0,66.0,66.0
101,66.0,66.0,66.0,66.0,66.0
102,66.0,66.0,66.0,66.0,66.0
103,66.0,66.0,66.0,66.0,66.0
104,66.0,66.0,66.0,66.0,66.0
105,66.0,66.0,66.0,66.0,66.0
106,66.0,66.0,66.0,66.0,66.0
107,66.0,66.0,66.0,66.0,66.0
108,66.0,66.0,66.0,66.0,66.0
109,66.0,66.0,66.0,66.0,66.0
110,66.0,66.0,66.0,66.0,66.0
111,66.0,66.0,66.0,66.0,66.0
112,66.0,66.0,66.0,66.0,66.0
113,66.0,66.0,66.0,66.0,66.0
114,66.0,66.0,66.0,66.0,66.0
115,66.0,66.0,66.0,66.0,66.0
116,66.0,66.0,66.0,66.0,66.0
117,66.0,66.0,66.0,66.0,66.0
118,66.0,66.0,66.0,66.0,66.0
119,66.0,66.0,66.0,66.0,66.0
120,66.0,66.0,66.0,66.0,66.0
121,66.0,66.0,66.0,66.0,66.0
122,0.0,0.0,66.0,66.0,66.0
123,0.16,0.16,66.03154119474209,66.0,66.0
124,0.32,0.32,66.12566735548548,66.0,66.0
125,0.48,0.48,66.280894056447,66.0,66.0
126,0.64,0.64,66.49477327982454,66.0,66.0
127,0.8,0.8,66.76393202250021,66.0030838550371,66.0
128,0.96,0.96,67.08412549031435,66.05428297129401,66.0
129,1.12,1.12,67.45030404100524,66.16770840215072,66.0
130,1.28,1.28,67.85669282008402,66.34157136080555,66.0
131,1.44,1.44,68.29688283373972,66.5731299245398,66.0
132,1.6,1.6,68.76393202250021,66.85873227647701,66.0123306650675
133,1.76,1.76,69.2504747416571,67.19387429691658,66.08310875751293
134,1.92,1.92,69.74883792188274,67.573270595992,66.21565856468982
135,2.08,2.08,70.25116207811726,67.99093786742651,66.40788969695754
136,2.24,2.24,70.7495252583429,68.44028924884725,66.65677055452691
137,2.4,2.4,71.23606797749979,68.9142382005397,66.95837613759987
138,2.56,2.56,71.70311716626028,69.40531026441231,67.3079499459609
139,2.72,2.72,72.143307179916,69.90576094066556,67.69997899182688
140,2.88,2.88,72.54969595899476,70.4076978231802,68.12828074295771
141,3.04,3.04,72.91587450968565,70.90320506747642,68.58610062488297
142,3.2,3.2,73.23606797749979,71.38446822830997,69.06621854457637
143,3.36,3.36,73.50522672017546,71.84389749814184,69.56106275563582
144,3.52,3.52,73.719105943553,72.27424740293705,70.06282926924729
145,3.68,3.68,73.87433264451452,72.6687310676184,70.56360492775033
146,3.84,3.84,73.96845880525791,73.02112724914073,71.05549219986149
147,4.0,4.0,74.0,73.32587844921018,71.53073372946037
148,4.16,4.16,73.96845880525791,73.5781785593521,71.98183467372964
149,4.32,4.32,73.87433264451452,73.77404865611277,72.40168090130354
150,4.48,4.48,73.719105943553,73.91039975105916,72.78365118636926
151,4.64,4.64,73.50522672017546,73.98508150597176,73.12172162935332
152,4.8,4.8,73.23606797749979,73.9969161449629,73.41056065741637
153,4.96,4.96,72.91587450968565,73.94571702870599,73.64561310654179
154,5.12,5.12,72.54969595899476,73.83229159784928,73.82317205919333
155,5.28,5.28,72.14330717991598,73.65842863919445,73.9404373046191
156,5.44,5.44,71.70311716626028,73.4268700754602,73.99555949984789
157,5.6000000000000005,5.6000000000000005,71.23606797749979,73.14126772352299,73.98766933493252
158,5.76,5.76,70.7495252583429,72.80612570308342,73.91689124248707
159,5.92,5.92,70.25116207811725,72.426729404008,73.78434143531018
160,6.08,6.08,69.74883792188275,72.00906213257349,73.59211030304246
