,t,x_ref_1,x_1,x_tof,x_tof_filtered,u_1,J,FSP_reading
960,3285.716201,28.80859375,28.80859375,79.0,79.0739106899334,2.0000000000000115,4.284993403859662,1.3051771117166213
961,3285.87392,28.80859375,28.80859375,81.0,79.08053508767077,2.0000000000000115,4.284993403859662,1.3087431693989071
962,3286.041224,28.80859375,28.80859375,81.0,79.1416789945473,2.0000000000000115,4.284993403859662,1.3024523160762942
963,3286.197586,28.80859375,28.80859375,77.0,79.18712012580751,2.0000000000000115,4.284993403859662,1.3024523160762942
964,3286.350366,28.80859375,28.80859375,78.0,79.14797404276035,2.0000000000000115,4.284993403859662,1.3024523160762942
965,3286.504438,28.80859375,28.80859375,79.0,79.07676714481595,2.0000000000000115,4.284993403859662,1.298913043478261
966,3286.65685,28.80859375,28.80859375,79.0,79.05701148241079,2.0000000000000115,4.284993403859662,1.3087431693989071
967,3286.814201,28.80859375,28.80859375,79.0,79.07503165055252,2.0000000000000115,4.284993403859662,1.3024523160762942
968,3286.984182,28.80859375,28.80859375,79.0,79.07662918027927,2.0000000000000115,4.284993403859662,1.3087431693989071
969,3287.142695,28.80859375,28.80859375,79.0,79.0659085605027,2.0000000000000115,4.284993403859662,1.3087431693989071
970,3287.295387,28.80859375,28.80859375,76.0,79.02846605960904,2.0000000000000115,4.284993403859662,1.3123287671232877
971,3287.447936,28.80859375,28.80859375,76.0,78.93235092354284,2.0000000000000115,4.284993403859662,1.3024523160762942
972,3287.600915,28.80859375,28.80859375,78.0,78.82048151922099,2.0000000000000115,4.284993403859662,1.3024523160762942
973,3287.767052,28.80859375,28.80859375,79.0,78.77260942142576,2.0000000000000115,4.284993403859662,1.3024523160762942
974,3287.923269,28.80859375,28.80859375,82.0,78.8262432167118,2.0000000000000115,4.284993403859662,1.3024523160762942
975,3288.075872,28.80859375,28.80859375,78.0,78.89938371846065,2.0000000000000115,4.284993403859662,1.3123287671232877
976,3288.228956,28.80859375,26.3671875,79.0,78.91817560083675,2.0000000000000115,4.284993403859662,1.3024523160762942
977,3288.39109,28.80859375,28.80859375,80.0,78.90835202028417,2.0000000000000115,6.823578164992435,1.3024523160762942
978,3288.556287,28.80859375,26.3671875,79.0,78.92019471494152,2.0000000000000115,4.284993403859662,1.3024523160762942
979,3288.712754,28.80859375,28.80859375,81.0,78.97062066864544,2.0000000000000115,6.823578164992435,1.3024523160762942
