,t,x_ref_1,x_ref_2,x_ref_3,x_1,x_2,x_3,x_tof_1,x_tof_2,x_tof_3,x_adc_filtered_1,x_adc_filtered_2,x_adc_filtered_3,u_1,u_2,u_3,J
101,986.89114,0.0,0.0,0.0,-0.7668264398079345,-0.5942114087648989,-1.6971242388977636,16.0,77.0,69.0,64.0,64.0,63.0,9.0,9.0,9.0,133.95806051871833
102,987.055288,0.0,0.0,0.0,-0.75771934087759,-0.8679309282315932,-1.5484670592718295,18.0,74.0,72.0,64.0,64.0,63.0,9.0,9.0,9.0,135.17594878887658
103,987.21059,0.0,0.0,0.0,-0.7085543365973797,-0.7683372327088982,-1.396083782611263,18.0,78.0,72.0,64.0,64.0,63.0,9.0,9.0,9.0,134.75400590146432
104,987.371716,0.0,0.0,0.0,-0.6693316971513412,-0.7961062141159059,-1.3721405637197042,18.0,76.0,70.0,64.0,64.0,63.0,9.0,9.0,9.0,132.29071480145322
105,987.527886,0.0,0.0,0.0,-0.7336848907767872,-0.5729465790555097,-1.3244578328141734,17.0,79.0,71.0,64.0,64.0,63.0,9.0,9.0,9.0,132.0640556503152
106,987.695711,0.0,0.0,0.0,-0.9026873818502321,-0.42533995440965855,-1.3738762467318613,16.0,78.0,69.0,64.0,64.0,63.0,9.0,9.0,9.0,130.71858287479563
107,987.865264,0.0,0.0,0.0,-0.7719249857189934,-0.4231552493540942,-1.5346702720658825,19.0,77.0,67.0,64.0,64.0,63.0,9.0,9.0,9.0,131.65743176389367
108,988.021269,0.0,0.0,0.0,-0.6994696110767182,-0.6340257945213792,-1.58703842706399,18.0,75.0,69.0,64.0,64.0,63.0,9.0,9.0,9.0,132.78826424909525
109,988.176667,0.0,0.0,0.0,-0.6623270470462144,-0.5578308110388939,-1.5582315475772204,18.0,78.0,70.0,64.0,64.0,63.0,9.0,9.0,9.0,133.6447669255524
110,988.331969,0.0,0.0,0.0,-0.728046644521164,-0.43323363187414987,-1.4253168466260742,17.0,78.0,72.0,64.0,64.0,63.0,9.0,9.0,9.0,132.89095321676928
111,988.499948,0.0,0.0,0.0,-0.7058870919571363,-0.3330445150521184,-1.4451036319474362,18.0,78.0,69.0,64.0,64.0,63.0,9.0,9.0,9.0,131.3446339807586
112,988.663756,0.0,0.0,0.0,-0.6668846584152872,-0.5401420241226575,-1.5927400729319563,18.0,75.0,67.0,64.0,64.0,63.0,9.0,9.0,9.0,131.36834056323553
113,988.819393,0.0,0.0,0.0,-0.7316286856095933,-0.6741562787772675,-1.7334456296847978,17.0,76.0,67.0,64.0,64.0,63.0,9.0,9.0,9.0,133.27833254986663
114,988.975415,0.0,0.0,0.0,-0.7088150350388345,-0.6651608987417235,-1.748069618277532,18.0,77.0,69.0,64.0,64.0,63.0,9.0,9.0,9.0,135.77440907838653
115,989.131887,0.0,0.0,0.0,-0.6692619524000141,-0.6374385318793125,-1.788212761182149,18.0,77.0,68.0,64.0,64.0,63.0,9.0,9.0,9.0,135.83530256284314
